Category,Subcategory,Description,Notes,Vendor,Start Date,Duration,End Date,Amount,Balance
Occupancy,Rent,Rent,recurring,Market Flats,45809,1,45810,-14829,92909.18
Revenue,PayPal,Paypal Donations,member equity,Paypal,45809,1,45810,1000,93909.18
Debt Service,Embassy,Loan Payoff,interest,Embassy,45812,1,45813,-400000,-306090.82
Debt Service,LEAF,Interest,principal + interest,LEAF,45813,1,45814,-6037.07,-312127.89
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,45814,1,45815,-1483,-313610.89
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),45814,1,45815,-5040.68,-318651.57
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),45814,1,45815,-7000,-325651.57
Occupancy,Utilities,Electric (Estimated),recurring,PPL,45817,1,45818,-1100,-326751.57
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),45821,1,45822,-5040.68,-337292.25
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),45821,1,45822,-17088.15,-354380.4
Other,Opening Inventory,Opening Inventory,estimate - based on Pro Forma,KeHe,45823,1,45824,-321336.25,-675716.65
Debt Service,Penn,Interest,recurring,Penn,45823,1,45824,-5250,-680966.65
Debt Service,Penn,Loan Payoff,recurring,Penn,45823,1,45824,-700000,-1380966.65
Supplies & Materials,Interior Decor,Aurora Displays,Due on Completion - terms and date subject to change,Aurora Displays,45824,1,45825,-39466.42,-1402966.65
Equipment,Aperion,Electronic Tag System,terms not defined -estimate,Aperion,45828,1,45829,-32991.7,-1453958.35
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),45828,1,45829,-5040.68,-1458999.03
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),45828,1,45829,-17088.15,-1476087.18
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),45835,1,45836,-5040.68,-1481127.86
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),45835,1,45836,-17088.15,-1498216.01
Occupancy,Rent,Rent,recurring,Market Flats,45870,1,45871,-14829,-1513045.01
Revenue,PayPal,Paypal Donations,member equity,Paypal,45870,1,45871,1000,-1512045.01
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,45872,1,45873,-1483,-1513528.01
Occupancy,Utilities,Electric (Estimated),recurring,PPL,45881,1,45882,-5000,-1518528.01
Equipment,Zepole,Equipment Sales Order,Need to confirm adjusted payment plan with Zepole,Zepole,45884,1,45885,-236737.3,-1545653.67
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,BCM,45889,1,45890,17173.03,-1528480.64
Construction,Construction,unbilled (including retainage),due on completion,Boyle,45890,1,45891,-155267.14,-1683747.78
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45891,1,45892,17173.03,-1666574.75
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45892,1,45893,17173.03,-1649401.72
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45893,1,45894,17173.03,-1632228.69
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45894,1,45895,17173.03,-1615055.66
Debt Service,LEAF,Interest,principal + interest,LEAF,45895,1,45896,-6037.07,-1621092.73
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45895,1,45896,17173.03,-1603919.7
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45896,1,45897,17173.03,-1586746.67
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45897,1,45898,17173.03,-1569573.64
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45898,1,45899,17173.03,-1552400.61
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45899,1,45900,17173.03,-1535227.58
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45900,1,45901,17173.03,-1518054.55
Occupancy,Rent,Rent,recurring,Market Flats,45901,1,45902,-14829,-1532883.55
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45901,1,45902,17173.03,-1515710.52
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45902,1,45903,17173.03,-1498537.49
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45903,1,45904,17173.03,-1481364.46
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45904,1,45905,17173.03,-1464191.43
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45905,1,45906,17173.03,-1447018.4
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45906,1,45907,17173.03,-1429845.37
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45907,1,45908,17173.03,-1412672.34
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45908,1,45909,17173.03,-1395499.31
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45909,1,45910,17173.03,-1378326.28
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45910,1,45911,17173.03,-1361153.25
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45911,1,45912,17173.03,-1343980.22
Occupancy,Utilities,Electric (Estimated),recurring,PPL,45912,1,45913,-5000,-1348980.22
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45912,1,45913,17173.03,-1331807.19
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45913,1,45914,17173.03,-1314634.16
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45914,1,45915,17173.03,-1297461.13
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45915,1,45916,17173.03,-1280288.1
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45916,1,45917,17173.03,-1263115.07
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45917,1,45918,17173.03,-1245942.04
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45918,1,45919,17173.03,-1228769.01
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45919,1,45920,17173.03,-1211595.98
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,45920,1,45921,17173.03,-1194422.95
Debt Service,LEAF,Interest,principal + interest,LEAF,45926,1,45927,-6037.07,-1200460.02
