Category,Subcategory,Description,Notes,Vendor,Start Date,Duration,End Date,Amount,Balance
Debt Service,Penn,Interest,recurring,Penn,3/15/25,1,3/16/25,-5250.00,397520.84
Equipment,Aperion,Electronic Tag System,This bill was generated but never delivered,Aperion,3/21/25,1,3/22/25,-15383.30,372311.38
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),3/21/25,1,3/22/25,-5040.68,367270.70
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),3/28/25,1,3/29/25,-5040.68,362230.02
Equipment,Aperion,Electronic Tag System,terms not defined -estimate,Aperion,3/30/25,1,3/31/25,-32991.70,329238.32
Debt Service,Embassy,Interest,interest,Embassy,4/1/25,1,4/2/25,-2057.30,327181.02
Other,Marketing,Consulting (Website),recurring,Fresh Ink,4/1/25,1,4/2/25,-300.00,313052.02
Occupancy,Rent,Rent,recurring,Market Flats,4/1/25,1,4/2/25,-14829.00,312352.02
Revenue,PayPal,Paypal Donations,member equity,Paypal,4/1/25,1,4/2/25,1000.00,313352.02
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,4/4/25,1,4/5/25,-1483.00,311569.02
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),4/4/25,1,4/5/25,-5040.68,306528.34
Debt Service,LEAF,Interest,principal + interest,LEAF,4/5/25,1,4/6/25,-6037.07,300491.27
Occupancy,Utilities,Electric (Estimated),recurring,PPL,4/9/25,1,4/10/25,-1100.00,299391.27
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),4/11/25,1,4/12/25,-5040.68,288850.59
Project Management,SBS,Estimated Consulting Hours Refill,estimate,SBS,4/11/25,1,4/12/25,-5500.00,293891.27
Equipment,Zepole,Equipment Sales Order,current payment plan - need to renegotiate,Zepole,4/14/25,1,4/15/25,-315181.45,-26330.86
Revenue,HUD,HUD drawdown #13,"Includes Equipment, Occupancy and Salary from March",Hud Drawdown,4/15/25,1,4/16/25,210597.34,179016.48
Debt Service,Penn,Interest,recurring,Penn,4/15/25,1,4/16/25,-5250.00,-31580.86
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),4/18/25,1,4/19/25,-5040.68,173975.80
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),4/25/25,1,4/26/25,-5040.68,168935.12
Supplies & Materials,Interior Decor,Décor Package (Vendor TBD),terms and date subject to change,Decor,5/1/25,1,5/2/25,-57000.00,112935.12
Debt Service,Embassy,Interest,interest,Embassy,5/1/25,1,5/2/25,-2057.30,110877.82
Other,Marketing,Consulting (Website),recurring,Fresh Ink,5/1/25,1,5/2/25,-300.00,95748.82
Occupancy,Rent,Rent,recurring,Market Flats,5/1/25,1,5/2/25,-14829.00,96048.82
Revenue,PayPal,Paypal Donations,member equity,Paypal,5/1/25,1,5/2/25,1000.00,169935.12
Equipment,Coffee Equipment,Coffee Bar Equipment,estimate,Zepole,5/1/25,1,5/2/25,-18000.00,77748.82
Supplies & Materials,Small Wares,Kitchen Small Wares,estimate,Zepole,5/1/25,1,5/2/25,-18000.00,59748.82
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/2/25,1,5/3/25,-5040.68,54708.14
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,5/5/25,1,5/6/25,-1483.00,53225.14
Debt Service,LEAF,Interest,principal + interest,LEAF,5/5/25,1,5/6/25,-6037.07,47188.07
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/9/25,1,5/10/25,-5040.68,41047.39
Occupancy,Utilities,Electric (Estimated),recurring,PPL,5/9/25,1,5/10/25,-1100.00,46088.07
Project Management,SBS,Estimated Consulting Hours Refill,estimate,SBS,5/11/25,1,5/12/25,-5500.00,35547.39
Debt Service,Penn,Interest,recurring,Penn,5/15/25,1,5/16/25,-5250.00,30297.39
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/16/25,1,5/17/25,-5040.68,25256.71
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),5/16/25,1,5/17/25,-7000.00,18256.71
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/23/25,1,5/24/25,-5040.68,6216.03
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),5/23/25,1,5/24/25,-7000.00,11256.71
Equipment,ECRS,Registers + other POS equipment,estimated install date,ECRS,5/30/25,1,5/31/25,-83318.11,-89142.76
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/30/25,1,5/31/25,-5040.68,-5824.65
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),5/30/25,1,5/31/25,-7000.00,-783.97
Equipment,Zepole,Equipment Sales Order,due on completion,Zepole,5/31/25,1,6/1/25,-59799.05,-148941.81
Debt Service,Embassy,Interest,interest,Embassy,6/1/25,1,6/2/25,-2057.30,-149999.11
Other,Marketing,Consulting (Website),recurring,Fresh Ink,6/1/25,1,6/2/25,-300.00,-165128.11
Occupancy,Rent,Rent,recurring,Market Flats,6/1/25,1,6/2/25,-14829.00,-164828.11
Revenue,PayPal,Paypal Donations,member equity,Paypal,6/1/25,1,6/2/25,1000.00,-147941.81
Debt Service,Embassy,Loan Payoff,interest,Embassy,6/4/25,1,6/5/25,-400000.00,-565128.11
Debt Service,LEAF,Interest,principal + interest,LEAF,6/5/25,1,6/6/25,-6037.07,-571165.18
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,6/6/25,1,6/7/25,-1483.00,-572648.18
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),6/6/25,1,6/7/25,-5040.68,-577688.86
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),6/6/25,1,6/7/25,-7000.00,-584688.86
Occupancy,Utilities,Electric (Estimated),recurring,PPL,6/9/25,1,6/10/25,-1100.00,-585788.86
Project Management,SBS,Estimated Consulting Hours Refill,estimate,SBS,6/11/25,1,6/12/25,-5500.00,-591288.86
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),6/13/25,1,6/14/25,-5040.68,-596329.54
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),6/13/25,1,6/14/25,-17088.15,-613417.69
Other,Opening Inventory,Opening Inventory,estimate - based on Pro Forma,KeHe,6/15/25,1,6/16/25,-327412.00,-946079.69
Debt Service,Penn,Interest,recurring,Penn,6/15/25,1,6/16/25,-5250.00,-618667.69
Debt Service,Penn,Loan Payoff,recurring,Penn,6/15/25,1,6/16/25,-700000.00,-1646079.69
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),6/20/25,1,6/21/25,-5040.68,-1651120.37
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),6/20/25,1,6/21/25,-17088.15,-1668208.52
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),6/27/25,1,6/28/25,-5040.68,-1673249.20
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),6/27/25,1,6/28/25,-17088.15,-1690337.35
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,BCM,7/1/25,1,7/2/25,17173.03,-1672164.32
Construction,Construction,unbilled (including retainage),due on completion,Boyle,7/1/25,1,7/2/25,-155267.14,-1827431.46
Occupancy,Rent,Rent,recurring,Market Flats,7/1/25,1,7/2/25,-14829.00,-1842260.46
Revenue,PayPal,Paypal Donations,member equity,Paypal,7/1/25,1,7/2/25,1000.00,-1689337.35
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/2/25,1,7/3/25,17173.03,-1825087.43
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/3/25,1,7/4/25,17173.03,-1807914.40
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/4/25,1,7/5/25,17173.03,-1792224.37
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,7/4/25,1,7/5/25,-1483.00,-1809397.40
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/5/25,1,7/6/25,17173.03,-1781088.41
Debt Service,LEAF,Interest,principal + interest,LEAF,7/5/25,1,7/6/25,-6037.07,-1798261.44
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/6/25,1,7/7/25,17173.03,-1763915.38
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/7/25,1,7/8/25,17173.03,-1746742.35
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/8/25,1,7/9/25,17173.03,-1729569.32
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/9/25,1,7/10/25,17173.03,-1717396.29
Occupancy,Utilities,Electric (Estimated),recurring,PPL,7/9/25,1,7/10/25,-5000.00,-1734569.32
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/10/25,1,7/11/25,17173.03,-1700223.26
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/11/25,1,7/12/25,17173.03,-1683050.23
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/12/25,1,7/13/25,17173.03,-1665877.20
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/13/25,1,7/14/25,17173.03,-1648704.17
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/14/25,1,7/15/25,17173.03,-1631531.14
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/15/25,1,7/16/25,17173.03,-1614358.11
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/16/25,1,7/17/25,17173.03,-1597185.08
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/17/25,1,7/18/25,17173.03,-1580012.05
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/18/25,1,7/19/25,17173.03,-1562839.02
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/19/25,1,7/20/25,17173.03,-1545665.99
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/20/25,1,7/21/25,17173.03,-1528492.96
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/21/25,1,7/22/25,17173.03,-1511319.93
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/22/25,1,7/23/25,17173.03,-1494146.90
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/23/25,1,7/24/25,17173.03,-1476973.87
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/24/25,1,7/25/25,17173.03,-1459800.84
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/25/25,1,7/26/25,17173.03,-1442627.81
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/26/25,1,7/27/25,17173.03,-1425454.78
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/27/25,1,7/28/25,17173.03,-1408281.75
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/28/25,1,7/29/25,17173.03,-1391108.72
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/29/25,1,7/30/25,17173.03,-1373935.69
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/30/25,1,7/31/25,17173.03,-1356762.66
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/31/25,1,8/1/25,17173.03,-1339589.63
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
