Category,Subcategory,Description,Vendor,Start Date,Duration,End Date,Amount,Balance
Salary,Payroll (store),Payroll (store),Payroll (store),5/16/25,1,5/17/25,-17088.15,-857102.76
Salary,Payroll (admin),Payroll (admin),Payroll (admin),5/23/25,1,5/24/25,-5040.68,-862143.44
Salary,Payroll (admin),Payroll (admin),Payroll (admin),5/30/25,1,5/31/25,-5040.68,-867184.12
Equipment,ECRS,Registers + other POS equipment,ECRS,5/30/25,1,5/31/25,-83318.11,-950502.23
Equipment,Zepole,Equipment Sales Order,Zepole,5/31/25,1,6/1/25,-59799.05,-1010301.28
Occupancy,Insurance,Insurance,Cincinnati Insurance,6/1/25,1,6/2/25,-1483.00,-1011784.28
Debt Service,Embassy,Interest,Embassy,6/1/25,1,6/2/25,-2057.30,-1013841.58
Debt Service,LEAF,Interest,LEAF,6/1/25,1,6/2/25,-2333.33,-1016174.91
Occupancy,Rent,Rent,Market Flats,6/1/25,1,6/2/25,-14829.00,-1031003.91
Debt Service,Penn,Interest,Penn,6/1/25,1,6/2/25,-5250.00,-1036253.91
Occupancy,Utilities,Electric (Estimated),PPL,6/1/25,1,6/2/25,-1100.00,-1037353.91
Other,Marketing,Consulting (Website),Fresh Ink,6/1/25,1,6/2/25,-300.00,-1037653.91
Project Management,SBS,Estimated Consulting Hours Refill,SBS,6/1/25,1,6/2/25,-5500.00,-1043153.91
Construction,Architecture & Design,Estimated Consulting Hours Refill,Thought For Food,6/1/25,1,6/2/25,-1440.00,-1044593.91
Other,Opening Inventory,Opening Inventory,KeHe,6/1/25,1,6/2/25,-327412.00,-1372005.91
Debt Service,Embassy,Loan Payoff,Embassy,6/4/25,1,6/5/25,-400000.00,-1772005.91
Debt Service,Penn,Loan Payoff,Penn,6/15/25,1,6/16/25,-700000.00,-2472005.91
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
