Category,Subcategory,Description,Notes,Vendor,Start Date,Duration,End Date,Amount,Balance
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/1/25,1,9/2/25,17173.03,-1515710.52
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/2/25,1,9/3/25,17173.03,-1498537.49
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/3/25,1,9/4/25,17173.03,-1481364.46
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/4/25,1,9/5/25,17173.03,-1464191.43
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/5/25,1,9/6/25,17173.03,-1447018.4
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/6/25,1,9/7/25,17173.03,-1429845.37
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/7/25,1,9/8/25,17173.03,-1412672.34
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/8/25,1,9/9/25,17173.03,-1395499.31
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/9/25,1,9/10/25,17173.03,-1378326.28
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/10/25,1,9/11/25,17173.03,-1361153.25
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/11/25,1,9/12/25,17173.03,-1343980.22
Occupancy,Utilities,Electric (Estimated),recurring,PPL,9/12/25,1,9/13/25,-5000,-1348980.22
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/12/25,1,9/13/25,17173.03,-1331807.19
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/13/25,1,9/14/25,17173.03,-1314634.16
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/14/25,1,9/15/25,17173.03,-1297461.13
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/15/25,1,9/16/25,17173.03,-1280288.1
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/16/25,1,9/17/25,17173.03,-1263115.07
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/17/25,1,9/18/25,17173.03,-1245942.04
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/18/25,1,9/19/25,17173.03,-1228769.01
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/19/25,1,9/20/25,17173.03,-1211595.98
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/20/25,1,9/21/25,17173.03,-1194422.95
Debt Service,LEAF,Interest,principal + interest,LEAF,9/26/25,1,9/27/25,-6037.07,-1200460.02
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/23/25,1,7/24/25,17173.03,-1143249.62
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/24/25,1,7/25/25,17173.03,-1126076.59
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/25/25,1,7/26/25,17173.03,-1108903.56
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/26/25,1,7/27/25,17173.03,-1091730.53
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/27/25,1,7/28/25,17173.03,-1074557.5
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/28/25,1,7/29/25,17173.03,-1057384.47
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/29/25,1,7/30/25,17173.03,-1040211.44
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/30/25,1,7/31/25,17173.03,-1023038.41
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/31/25,1,8/1/25,17173.03,-1005865.38
