Category,Subcategory,Description,Notes,Vendor,Start Date,Duration,End Date,Amount,Balance
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/7/25,1,9/8/25,17173.03,
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/8/25,1,9/9/25,17173.03,
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/9/25,1,9/10/25,17173.03,
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/10/25,1,9/11/25,17173.03,
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/11/25,1,9/12/25,17173.03,
Occupancy,Utilities,Electric (Estimated),recurring,PPL,9/12/25,1,9/13/25,-5000,
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/12/25,1,9/13/25,17173.03,
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/13/25,1,9/14/25,17173.03,
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/14/25,1,9/15/25,17173.03,
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/15/25,1,9/16/25,17173.03,
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/16/25,1,9/17/25,17173.03,
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/17/25,1,9/18/25,17173.03,
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/18/25,1,9/19/25,17173.03,
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/19/25,1,9/20/25,17173.03,
Equipment,Aperion,Electronic Tag System,terms not defined -estimate,Aperion,9/20/25,1,9/21/25,-32991.7,
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/20/25,1,9/21/25,17173.03,
Debt Service,LEAF,Interest,principal + interest,LEAF,9/5/25,1,9/6/25,-6037.07,
