Category,Subcategory,Description,Notes,Vendor,Start Date,Duration,End Date,Amount,Balance
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/16/2025,1,5/17/2025,-5040.68,388878.11
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),5/16/2025,1,5/17/2025,-7000,381878.11
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/23/2025,1,5/24/2025,-5040.68,376837.43
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),5/23/2025,1,5/24/2025,-7000,369837.43
Equipment,ECRS,Registers + other POS equipment,estimated install date,ECRS,5/30/2025,1,5/31/2025,-83318.11,286519.32
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/30/2025,1,5/31/2025,-5040.68,281478.64
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),5/30/2025,1,5/31/2025,-7000,274478.64
Equipment,Zepole,Equipment Sales Order,due on completion,Zepole,5/31/2025,1,6/1/2025,-59799.05,214679.59
Debt Service,Embassy,Interest,interest,Embassy,6/1/2025,1,6/2/2025,-2057.3,212622.29
Other,Marketing,Consulting (Website),recurring,Fresh Ink,6/1/2025,1,6/2/2025,-300,212322.29
Occupancy,Rent,Rent,recurring,Market Flats,6/1/2025,1,6/2/2025,-14829,197493.29
Revenue,PayPal,Paypal Donations,member equity,Paypal,6/1/2025,1,6/2/2025,1000,198493.29
Debt Service,Embassy,Loan Payoff,interest,Embassy,6/4/2025,1,6/5/2025,-400000,-201506.71
Debt Service,LEAF,Interest,principal + interest,LEAF,6/5/2025,1,6/6/2025,-6037.07,-207543.78
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,6/6/2025,1,6/7/2025,-1483,-209026.78
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),6/6/2025,1,6/7/2025,-5040.68,-214067.46
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),6/6/2025,1,6/7/2025,-7000,-221067.46
Occupancy,Utilities,Electric (Estimated),recurring,PPL,6/9/2025,1,6/10/2025,-1100,-222167.46
Project Management,SBS,Estimated Consulting Hours Refill,estimate,SBS,6/11/2025,1,6/12/2025,-5500,-227667.46
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),6/13/2025,1,6/14/2025,-5040.68,-232708.14
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),6/13/2025,1,6/14/2025,-17088.15,-249796.29
Occupancy,Rent,Rent,recurring,Market Flats,7/1/2025,1,7/2/2025,-14829,-264625.29
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),7/3/2025,1,7/4/2025,-5040.68,-269665.97
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),7/3/2025,1,7/4/2025,-7000,-276665.97
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),7/11/2025,1,7/12/2025,-5040.68,-281706.65
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),7/11/2025,1,7/12/2025,-7000,-288706.65
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),7/18/2025,1,7/19/2025,-5040.68,-293747.33
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),7/18/2025,1,7/19/2025,-7000,-300747.33
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),7/25/2025,1,7/26/2025,-5040.68,-305788.01
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),7/25/2025,1,7/26/2025,-7000,-312788.01
Other,Opening Inventory,Opening Inventory,estimate - based on Pro Forma,KeHe,8/5/2025,1,8/6/2025,-321336.25,-634124.26
Debt Service,Penn,Interest,recurring,Penn,6/15/2025,1,6/16/2025,-5250,-639374.26
Debt Service,Penn,Loan Payoff,recurring,Penn,6/15/2025,1,6/16/2025,-700000,-1339374.26
Supplies & Materials,Interior Decor,Aurora Displays,Due on Completion - terms and date subject to change,Aurora Displays,6/16/2025,1,6/17/2025,-22000,-1361374.26
Supplies & Materials,Small Wares,Kitchen Small Wares,estimate,Zepole,6/18/2025,1,6/19/2025,-18000,-1379374.26
Equipment,Aperion,Electronic Tag System,terms not defined -estimate,Aperion,6/20/2025,1,6/21/2025,-32991.7,-1412365.96
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),6/20/2025,1,6/21/2025,-5040.68,-1417406.64
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),6/20/2025,1,6/21/2025,-17088.15,-1434494.79
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),6/27/2025,1,6/28/2025,-5040.68,-1439535.47
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),6/27/2025,1,6/28/2025,-17088.15,-1456623.62
Occupancy,Rent,Rent,recurring,Market Flats,8/1/2025,1,8/2/2025,-14829,-1471452.62
Revenue,PayPal,Paypal Donations,member equity,Paypal,8/1/2025,1,8/2/2025,1000,-1470452.62
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,8/3/2025,1,8/4/2025,-1483,-1471935.62
Occupancy,Utilities,Electric (Estimated),recurring,PPL,8/12/2025,1,8/13/2025,-5000,-1476935.62
Equipment,Zepole,Equipment Sales Order,Need to confirm adjusted payment plan with Zepole,Zepole,8/15/2025,1,8/16/2025,-27125.66,-1504061.28
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,BCM,8/20/2025,1,8/21/2025,17173.03,-1486888.25
Construction,Construction,unbilled (including retainage),due on completion,Boyle,8/21/2025,1,8/22/2025,-155267.14,-1642155.39
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,8/22/2025,1,8/23/2025,17173.03,-1624982.36
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,8/23/2025,1,8/24/2025,17173.03,-1607809.33
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,8/24/2025,1,8/25/2025,17173.03,-1590636.3
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,8/25/2025,1,8/26/2025,17173.03,-1573463.27
Debt Service,LEAF,Interest,principal + interest,LEAF,8/26/2025,1,8/27/2025,-6037.07,-1579500.34
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,8/26/2025,1,8/27/2025,17173.03,-1562327.31
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,8/27/2025,1,8/28/2025,17173.03,-1545154.28
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,8/28/2025,1,8/29/2025,17173.03,-1527981.25
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,8/29/2025,1,8/30/2025,17173.03,-1510808.22
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,8/30/2025,1,8/31/2025,17173.03,-1493635.19
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,8/31/2025,1,9/1/2025,17173.03,-1476462.16
Occupancy,Rent,Rent,recurring,Market Flats,9/1/2025,1,9/2/2025,-14829,-1491291.16
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/1/2025,1,9/2/2025,17173.03,-1474118.13
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/2/2025,1,9/3/2025,17173.03,-1456945.1
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/3/2025,1,9/4/2025,17173.03,-1439772.07
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/4/2025,1,9/5/2025,17173.03,-1422599.04
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/5/2025,1,9/6/2025,17173.03,-1405426.01
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/6/2025,1,9/7/2025,17173.03,-1388252.98
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/7/2025,1,9/8/2025,17173.03,-1371079.95
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/8/2025,1,9/9/2025,17173.03,-1353906.92
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/9/2025,1,9/10/2025,17173.03,-1336733.89
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/10/2025,1,9/11/2025,17173.03,-1319560.86
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/11/2025,1,9/12/2025,17173.03,-1302387.83
Occupancy,Utilities,Electric (Estimated),recurring,PPL,9/12/2025,1,9/13/2025,-5000,-1307387.83
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/12/2025,1,9/13/2025,17173.03,-1290214.8
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/13/2025,1,9/14/2025,17173.03,-1273041.77
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/14/2025,1,9/15/2025,17173.03,-1255868.74
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/15/2025,1,9/16/2025,17173.03,-1238695.71
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/16/2025,1,9/17/2025,17173.03,-1221522.68
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/17/2025,1,9/18/2025,17173.03,-1204349.65
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/18/2025,1,9/19/2025,17173.03,-1187176.62
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/19/2025,1,9/20/2025,17173.03,-1170003.59
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,9/20/2025,1,9/21/2025,17173.03,-1152830.56
Debt Service,LEAF,Interest,principal + interest,LEAF,9/26/2025,1,9/27/2025,-6037.07,-1158867.63
