Category,Subcategory,Description,Notes,Vendor,Start Date,Duration,End Date,Amount,Balance
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),5/16/2025,1,5/17/2025,-7000,127719.32
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/23/2025,1,5/24/2025,-5040.68,122678.64
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),5/23/2025,1,5/24/2025,-7000,115678.64
Equipment,ECRS,Registers + other POS equipment,estimated install date,ECRS,5/30/2025,1,5/31/2025,-83318.11,32360.53
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/30/2025,1,5/31/2025,-5040.68,27319.85
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),5/30/2025,1,5/31/2025,-7000,20319.85
Equipment,Zepole,Equipment Sales Order,due on completion,Zepole,5/31/2025,1,6/1/2025,-59799.05,-39479.20
Supplies & Materials,Interior Decor,Décor Package (Vendor TBD),Due on Completion - terms and date subject to change,Decor,6/1/2025,1,6/2/2025,-22000,-61479.20
Debt Service,Embassy,Interest,interest,Embassy,6/1/2025,1,6/2/2025,-2057.3,-63536.50
Other,Marketing,Consulting (Website),recurring,Fresh Ink,6/1/2025,1,6/2/2025,-300,-63836.50
Occupancy,Rent,Rent,recurring,Market Flats,6/1/2025,1,6/2/2025,-14829,-78665.50
Revenue,PayPal,Paypal Donations,member equity,Paypal,6/1/2025,1,6/2/2025,1000,-77665.50
Debt Service,Embassy,Loan Payoff,interest,Embassy,6/4/2025,1,6/5/2025,-400000,-477665.50
Debt Service,LEAF,Interest,principal + interest,LEAF,6/5/2025,1,6/6/2025,-6037.07,-483702.57
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,6/6/2025,1,6/7/2025,-1483,-485185.57
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),6/6/2025,1,6/7/2025,-5040.68,-490226.25
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),6/6/2025,1,6/7/2025,-7000,-497226.25
Occupancy,Utilities,Electric (Estimated),recurring,PPL,6/9/2025,1,6/10/2025,-1100,-498326.25
Project Management,SBS,Estimated Consulting Hours Refill,estimate,SBS,6/11/2025,1,6/12/2025,-5500,-503826.25
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),6/13/2025,1,6/14/2025,-5040.68,-508866.93
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),6/13/2025,1,6/14/2025,-17088.15,-525955.08
Other,Opening Inventory,Opening Inventory,estimate - based on Pro Forma,KeHe,6/15/2025,1,6/16/2025,-321336.25,-847291.33
Debt Service,Penn,Interest,recurring,Penn,6/15/2025,1,6/16/2025,-5250,-852541.33
Debt Service,Penn,Loan Payoff,recurring,Penn,6/15/2025,1,6/16/2025,-700000,-1552541.33
Revenue,HUD,HUD drawdown #15,Includes Occupancy + Other (Inventory),Hud Drawdown,6/18/2025,1,6/19/2025,240185.89,-1312355.44
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),6/20/2025,1,6/21/2025,-5040.68,-1317396.12
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),6/20/2025,1,6/21/2025,-17088.15,-1334484.27
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),6/27/2025,1,6/28/2025,-5040.68,-1339524.95
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),6/27/2025,1,6/28/2025,-17088.15,-1356613.10
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,BCM,7/1/2025,1,7/2/2025,17173.03,-1339440.07
Construction,Construction,unbilled (including retainage),due on completion,Boyle,7/1/2025,1,7/2/2025,-155267.14,-1494707.21
Occupancy,Rent,Rent,recurring,Market Flats,7/1/2025,1,7/2/2025,-14829,-1509536.21
Revenue,PayPal,Paypal Donations,member equity,Paypal,7/1/2025,1,7/2/2025,1000,-1508536.21
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/2/2025,1,7/3/2025,17173.03,-1491363.18
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/3/2025,1,7/4/2025,17173.03,-1474190.15
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/4/2025,1,7/5/2025,17173.03,-1457017.12
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,7/4/2025,1,7/5/2025,-1483,-1458500.12
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/5/2025,1,7/6/2025,17173.03,-1441327.09
Debt Service,LEAF,Interest,principal + interest,LEAF,7/5/2025,1,7/6/2025,-6037.07,-1447364.16
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/6/2025,1,7/7/2025,17173.03,-1430191.13
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/7/2025,1,7/8/2025,17173.03,-1413018.10
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/8/2025,1,7/9/2025,17173.03,-1395845.07
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/9/2025,1,7/10/2025,17173.03,-1378672.04
Occupancy,Utilities,Electric (Estimated),recurring,PPL,7/9/2025,1,7/10/2025,-5000,-1383672.04
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/10/2025,1,7/11/2025,17173.03,-1366499.01
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/11/2025,1,7/12/2025,17173.03,-1349325.98
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/12/2025,1,7/13/2025,17173.03,-1332152.95
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/13/2025,1,7/14/2025,17173.03,-1314979.92
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/14/2025,1,7/15/2025,17173.03,-1297806.89
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/15/2025,1,7/16/2025,17173.03,-1280633.86
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/16/2025,1,7/17/2025,17173.03,-1263460.83
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/17/2025,1,7/18/2025,17173.03,-1246287.80
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/18/2025,1,7/19/2025,17173.03,-1229114.77
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/19/2025,1,7/20/2025,17173.03,-1211941.74
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/20/2025,1,7/21/2025,17173.03,-1194768.71
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/21/2025,1,7/22/2025,17173.03,-1177595.68
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/22/2025,1,7/23/2025,17173.03,-1160422.65
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/23/2025,1,7/24/2025,17173.03,-1143249.62
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/24/2025,1,7/25/2025,17173.03,-1126076.59
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/25/2025,1,7/26/2025,17173.03,-1108903.56
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/26/2025,1,7/27/2025,17173.03,-1091730.53
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/27/2025,1,7/28/2025,17173.03,-1074557.50
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/28/2025,1,7/29/2025,17173.03,-1057384.47
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/29/2025,1,7/30/2025,17173.03,-1040211.44
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/30/2025,1,7/31/2025,17173.03,-1023038.41
Revenue,Store Revenue,Projected Store Revenue,Based on Pro Forma,Store Revenue,7/31/2025,1,8/1/2025,17173.03,-1005865.38
